SEX,CURICULUM,LOCAL_CAPITAL,PREV_DEGREE,GPA,RELIGION,FUND,CUM_GPA,COUNT_TERM,PARENTS_INCOME,PARENTS_MARRIED,DROPOUT
0,1,0,0,2.01,0,0,2.05,8,15000,1,1
1,1,0,0,2.15,0,0,2.34,7,7000,1,1
0,1,0,0,2.21,1,0,2.24,7,4000,1,1
1,1,0,0,2.59,0,0,2.72,6,11500,1,1
1,1,1,0,3.28,0,0,2.57,6,7500,3,1
1,1,0,0,2.41,0,0,2.57,6,14500,1,1
1,1,0,0,3.19,1,0,2.87,7,10000,1,1
0,1,1,0,2.02,0,0,2.25,6,30000,1,1
0,1,1,0,2.31,0,0,3.27,5,23475,1,1
1,0,1,0,3.59,0,0,3.25,9,0,1,1
1,0,1,0,3.55,0,0,2.76,9,7500,3,1
1,0,1,0,3.64,1,0,2.78,9,14000,1,1
1,0,0,0,3.3,0,0,3.16,9,6000,1,1
1,0,1,0,3.5,0,0,3.41,7,15000,0,1
0,0,1,0,3.2,0,0,3.17,7,19000,0,1
1,0,0,0,3.42,0,0,2.75,8,34250,1,1
1,0,1,0,2.95,0,0,2.77,8,6250,1,1
1,0,0,0,3.43,1,0,2.86,8,3000,1,1
0,0,1,0,3.86,0,0,3.85,7,15000,1,1
0,0,1,0,3.55,0,0,1.73,3,15000,1,0
1,0,1,0,3.41,0,0,2.55,7,10000,1,1
1,0,1,0,3.16,0,0,2.77,7,9500,1,1
1,0,0,0,3.44,0,0,2.88,8,15000,1,1
1,0,1,0,3.35,0,0,2.71,8,20000,1,1
1,0,1,0,3.01,0,0,2.53,7,12500,1,1
1,0,0,0,3.68,1,0,2.83,8,6000,1,1
1,0,1,0,3.31,0,0,2.78,9,7000,1,1
1,0,1,0,3.02,0,0,2.16,14,16725,1,1
1,0,0,0,3.57,0,0,2.98,9,50000,1,1
1,0,0,0,3.45,0,0,3.63,9,30000,1,1
1,0,0,0,3.21,0,0,2.95,7,6000,3,1
1,0,1,0,3.23,0,0,2.32,9,30000,1,1
1,1,0,0,2.59,0,0,3.15,8,10000,1,1
0,1,0,0,3.43,0,0,3.03,9,5650,1,1
1,1,1,0,2.98,0,0,2.91,8,15000,1,1
1,0,0,0,3.25,1,0,3.11,9,25000,3,1
1,0,1,0,3.41,0,0,2.97,9,5000,3,1
1,0,1,0,3.18,0,0,2.56,10,10000,1,1
1,0,1,0,2.94,1,0,3.03,8,22500,1,1
0,0,1,2,2.72,0,0,2.31,10,17500,1,1
1,1,0,0,3.26,0,0,3.48,9,27500,1,1
1,1,0,0,3.09,0,0,2.91,8,12500,1,1
0,0,1,2,3.11,0,0,3.12,8,28955,1,1
0,0,0,2,3.19,0,0,2.31,8,10000,1,1
0,0,0,0,2.88,0,0,2.2,10,100000,1,1
0,0,0,0,3.11,0,0,2.73,8,15000,1,1
1,0,0,0,3.34,0,0,2.87,8,5000,1,1
1,0,0,0,2.89,0,0,3.52,10,22500,1,1
1,0,1,0,3.5,0,0,3.64,10,36000,2,1
1,0,0,0,3.62,1,0,3.79,8,6000,3,1
0,0,1,0,2.9,0,0,1.69,5,37500,1,0
0,0,1,0,3.22,0,0,2.91,9,7500,1,1
1,0,0,0,3.29,1,1,2.95,8,40000,1,1
1,0,1,0,3.47,0,0,3.4,8,20000,1,1
1,0,0,0,3.13,0,0,3.39,9,47500,1,1
1,0,1,0,3.25,0,0,3.08,8,6000,2,1
0,0,1,0,2.79,0,0,3.6,9,30000,1,1
1,0,0,0,3.21,0,0,3.31,9,15000,1,1
1,0,1,0,3.61,0,0,3.68,8,25000,1,1
1,0,0,0,3.38,0,0,3.66,8,100000,1,1
1,0,0,0,3.43,0,0,2.77,2,44500,1,0
1,0,0,2,2.33,0,0,2.69,10,17500,1,1
0,0,1,2,3.87,1,0,3.72,5,28000,1,1
1,1,1,0,2.77,0,0,2.29,10,53749,3,1
1,1,0,0,2.59,0,0,2.53,9,30000,1,1
0,1,0,0,2.33,0,0,2.82,9,37500,1,1
0,1,1,2,2.34,0,0,2.56,10,7000,1,1
